Business Key,Business Name,Business Address,Longitude,Latitude,Project Location,Has Incoming Location,Incoming_OnStreetID,Incoming_OrientationID,Incoming_FromID,Incoming_ToID,Incoming_WhereTypeID,Incoming_ParkingTypeID,Has Incoming Volume,Incoming Parking Type,Incoming Vehicle Type,Monday Total,Tuesday Total,Wednesday Total,Thursday Total,Friday Total,Saturday Total,Sunday Total,Total Weekly Deliveries,Average Daily Weekday,Has Outgoing Deliveries,Make Deliveries Daily Total,Make Delivery Vehicles Fixed,Outgoing Where On Block,Outgoing Parking Type,Business_OnStreet,Business_Orientation,Business_From,Business_To,Has Double Parking Survey,Double Parking,Source Count,Survey Year
LUCKY GROCERY SMOKE SHOP | 330 LIVINGSTON ST BROOKLYN NY 11217 USA,Lucky Grocery Smoke Shop,"330 Livingston St, Brooklyn, NY, 11217, USA",-73.98166038,40.68791547,LIVINGSTON STREET,1,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,In front of the business,Double parked,1,Double parked,Box truck,0,0,0,1,0,0,0,1,0.2,1,,,,,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,1,Unsure,1,2022
ANGELICA PIZZA | 332 LIVINGSTON ST BROOKLYN NY 11217 USA,Angelica Pizza,"332 Livingston St, Brooklyn, NY, 11217, USA",-73.98158427,40.68788593,LIVINGSTON STREET,1,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,Around the corner,In a No Standing zone,1,In a No Standing zone,Cargo van,0,2,0,0,0,0,0,2,0.4,1,1.0,Third_party,In front of the business,Bike parking on sidewalk,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,1,Unsure,1,2022
METRO FEAST | 340 LIVINGSTON ST BROOKLYN NY 11217 USA,METRO FEAST,"340 Livingston St, Brooklyn, NY, 11217, USA",-73.98129417,40.68777357,LIVINGSTON STREET,1,LIVINGSTON STREET,South,NEVINS STREET,FLATBUSH AVENUE,In front of the business,Bus stop,1,Bus stop,Box truck,2,0,2,0,2,0,0,6,1.2,1,10.0,Third_party,In front of the business,Bike parking on sidewalk,LIVINGSTON STREET,South,NEVINS STREET,FLATBUSH AVENUE,1,Never/rarely,1,2022
DESIGNER NAIL INC | 344 LIVINGSTON ST BROOKLYN NY 11217 USA,Designer Nail Inc,"344 Livingston St, Brooklyn, NY, 11217, USA",-73.98108982,40.68769557,LIVINGSTON STREET,1,LIVINGSTON STREET,South,NEVINS STREET,FLATBUSH AVENUE,In front of the business,Bus stop,1,Bus stop,Car/Minivan/SUV,0,0,0,0,0,0,0,0,0.0,1,,,,,LIVINGSTON STREET,South,NEVINS STREET,FLATBUSH AVENUE,1,Once or twice a day,1,2022
WRIGHT GOEBEL WINE SPIRITS | 346 LIVINGSTON ST BROOKLYN NY 11217 USA,WRIGHT & GOEBEL WINE & SPIRITS,"346 Livingston St, Brooklyn, NY, 11217, USA",-73.98091062,40.68761205,LIVINGSTON STREET,1,LIVINGSTON STREET,South,NEVINS STREET,FLATBUSH AVENUE,Across the street,Bus lane,1,Bus lane,Box truck,0,0,0,0,0,0,0,0,0.0,1,,,,,LIVINGSTON STREET,South,NEVINS STREET,FLATBUSH AVENUE,1,Consistently,1,2022
HONEY COSMETICS | 342 LIVINGSTON ST BROOKLYN NY 11217 USA,Honey Cosmetics,"342 Livingston St, Brooklyn, NY, 11217, USA",-73.98115352,40.68771988,LIVINGSTON STREET,1,,,,,,,1,,,0,0,0,0,0,0,0,0,0.0,1,,,,,,,,,1,,1,2022
DIALLO NENE HAIR BRADING INC | 316 LIVINGSTON ST BROOKLYN NY 11217 USA,Diallo Nene Hair Brading INC.,"316 Livingston St, Brooklyn, NY, 11217, USA",-73.98208869,40.68807733,LIVINGSTON STREET,1,,,,,,,1,,,0,0,0,0,0,0,0,0,0.0,1,,,,,,,,,1,,1,2022
UNI WAX | 358 LIVINGSTON ST BROOKLYN NY 11217 USA,Uni Wax,"358 Livingston St, Brooklyn, NY, 11217, USA",-73.98062513,40.68751821,LIVINGSTON STREET,1,LIVINGSTON STREET,South,NEVINS STREET,FLATBUSH AVENUE,Down the block,Don't know,1,Don't know,Cargo van,0,0,0,0,0,0,0,0,0.0,1,,,,,LIVINGSTON STREET,South,NEVINS STREET,FLATBUSH AVENUE,1,Never/rarely,1,2022
YAY SCRUBS | 366 LIVINGSTON ST BROOKLYN NY 11217 USA,Yay Scrubs,"366 Livingston St, Brooklyn, NY, 11217, USA",-73.98036403,40.68741855,LIVINGSTON STREET,1,LIVINGSTON STREET,South,NEVINS STREET,FLATBUSH AVENUE,Don't know,Don't know,1,Don't know,Cargo van,0,0,0,0,0,0,0,0,0.0,1,,,,,LIVINGSTON STREET,South,NEVINS STREET,FLATBUSH AVENUE,1,Unsure,1,2022
SHOE REPAIR | 372 LIVINGSTON ST BROOKLYN NY 11217 USA,SHOE REPAIR,"372 Livingston St, Brooklyn, NY, 11217, USA",-73.98014778,40.68732564,LIVINGSTON STREET,1,LIVINGSTON STREET,South,NEVINS STREET,FLATBUSH AVENUE,,,1,,,0,0,0,0,0,0,0,0,0.0,1,,,,,LIVINGSTON STREET,South,NEVINS STREET,FLATBUSH AVENUE,1,Consistently,1,2022
